Judul,Penulis,Pembimbing 1,Pembimbing 2,abstrak,Kata Kunci,Label
RANCANG BANGUN SISTEM INFORMASI PEMASARAN DAN MAINTENANCE MOBIL BERBASIS WEB (STUDI KASUS : SINDO SHOWROOM MOBIL),Millah Fauziyyah,"Fitri Damayanti,.S.Kom,.M.Kom",-,"Sistem informasi pemasaran selalu digunakan oleh bagian pemasaran dalam sebuah perusahaan untuk memasarkan produk-produk perusahaan tersebut. Sindo Showroom Mobil merupakan sebuah showroom mobil yang terletak di JL. Raya Kemangsen KM 1 No. 99, Krian – Sidoarjo. Showroom ini melayani penjualan mobil bekas, onderdil, dan aksesoris, serta melayani perawatan kendaraan. Pemasaran produk yang dilakukan Sindo Showroom Mobil selama ini masih manual yaitu dengan memberikan informasi dari satu customer ke customer lainnya dan juga dengan mengandalkan lokasi showroom yang strategis, ternyata cara tersebut dirasakan kurang efektif karena informasi sulit dijangkau oleh masyarakat sehingga customer tidak mendapatkan informasi secara detail mengenai produk yang diinginkan. Untuk mengatasi kendala tersebut maka dibangun sebuah aplikasi sistem pemasaran yang berbasis web di Sindo Showroom Mobil. Dari hasil perancangan sistem ini dapat mempermudah pihak showroom dalam memberikan informasi mengenai spesifikasi produk dan juga mempermudah customer dalam melakukan pemesanan dan reservasi perawatan kendaraan dengan memanfaatkan media internet sehingga dapat bekerja secara efektif dan efisien.","Sistem Informasi, Pemasaran, Maintenance, Sindo Showroom",RPL
PENGENALAN TELAPAK TANGAN MENGGUNAKAN METODE NAÏVE BAYES BERBASIS REDUKSI DIMENSI  PRINCIPAL COMPONENT ANALYSIS (PCA),Daril Ulumiyah,"Mulaab, S.Si., M.Kom.","Rima Tri Wahyuningrum, ST.,MT.","Teknologi biometrik saat ini mengalami perkembangan sangat pesat dan sudah lazim diterapkan pada berbagai bidang aplikasi. Proses pengenalan telapak tangan telah diteliti selama lebih dari 10 tahun.  Telapak tangan merupakan biometrika yang masih relatif baru. Telapak tangan memiliki beberapa karakteristik yang unik berupa garis telapak tangan dan bersifat stabil. Setiap orang mempunyai garis telapak tangan yang berbeda meskipun orang itu kembar. Keunikan dan kestabilan dari garis telapak tangan pada telapak tangan merupakan fitur handal setiap telapak tangan untuk digunakan pada sistem pengenalan. Dalam penelitian ini, proses pengenalan telapak tangan menggunakan metode Naive Bayes sebagai proses classifier dan  reduksi dimensinya menggunakan Principal Component Analysis (PCA). Sistem diuji coba menggunakan 100 citra telapak tangan dari 10 orang, setiap orang terdiri dari 10 sampel telapak tangan. Hasil pengujian rata-rata memperoleh persentase keberhasilan sebesar 51,45%.""",-,RPL
APLIKASI CITRA MOSAIC PANORAMIC MENGGUNAKAN METODE SIFT (SCALE INVARIANT FEATURE TRANSFORM),Gendra Budiarti,"Eza Rahmanita, ST, MT","Meidya Koeshardianto, S.Si, MT","Sebuah citra banyak diterapkan dalam berbagai aspek kehidupan, misalnya dalam bidang kedokteran untuk mengetahui bagian dalam tubuh manusia atau mendeteksi penyakit, dalam bidang geologi untuk memetakan suatu wilayah tertentu, dan lain sebagainya. Oleh karena itu dibutuhkan suatu tampilan citra yang dapat merepresentasikan suatu obyek. Namun batasan luas citra sering menjadi kendala dalam penerapan fungsi maupun manfaat citra itu sendiri. Untuk itu diperlukan aplikasi penggabungan citra atau mosaic panoramic yang dapat memperluas tampilan citra, sehingga dapat lebih bermanfaat untuk memberikan informasi suatu obyek tertentu. Pada penelitian ini menggunakan metode Scale Invariant Feature Transform (SIFT) untuk pendeteksian keypoint. Jumlah keypoint dapat berubah berdasarkan nilai threshold yang ditentukan. Dari 20 pasang citra yang diteliti, nilai threshold 0.1 pada 12 citra masukan jumlah keypoint yang berkesesuaian bernilai 0, sehingga tidak dapat dilakukan proses mosaic panoramic. Pada nilai threshold 0.6 jumlah keypoint yang berkesesuaian bernilai sedang dan dapat menghasilkan citra hasil mosaic panoramic. Sedangkan pada nilai threshold 0.9 jumlah keypoint yang berkesesuaian pada 14 pasang citra masukan atau 70% dari jumlah citra masukan semakin banyak ditemukan, sehingga  dapat dilakukan proses mosaic panoramic dan menghasilkan citra hasil mosaic panoramic yang lebih baik.","Mosaic Panoramic, SIFT (Scale Invariant Feature Transform), Keypoint",CAI
PENGELOMPOKAN KUALITAS KELAS PADA SISWA MENGGUNAKAN INDEKS DAVIES-BOULDIN SOM (SELF ORGANIZING MAP),Hamiyah,"Bain Khusnul K,ST.,M.Kom","Firli Irhamni, ST, M. Kom","Data yang terdapat pada SMA Wachid Hasyim 2 Taman-Sepanjang merupakan data siswa yang masih mentah sehingga data tersebut perlu diolah. Pengolahan data dengan mengelompokan (Clustering) data-data tersebut memiliki beragam metode salah satunya adalah SOM (Self Organizing Map). Untuk menvalidasi data setelah Penggunaan distance matrix digunakan IDB (Indeks Davies-Bouldin). IDB dalam SOM bertujuan untuk meningkatkan akurasi validasi hasil analisa data. Pada akhirnya penganalisaan data dengan studi kasus SMA Wachid Hasyim 2 Taman-Sepanjang ini bertujuan untuk mengetahui tingkat kemiripan siswa dalam satu kelompok (per kelas). Metode SOM mampu mengelompokan data yang berdekatan untuk dicari kemiripannya berdasarkan pola. Kemiripan data pada pengelompokan siswa yang dijadikan tiga cluster dengan learning rate 0.6 serta epoch 10, 20, 30  dengan MSE terkecil = 41.42 di epoch 30 pada 245 data training. Sedangkan yang dijadikan tiga sampai dengan sembilan Cluster dengan learning rate 0.6 serta epoch 10, 20, 30 dengan MSE terkecil = 25.04 di epoch 20 pada cluster  ke-4 dengan  245 data training. Nilai terkecil pada pemvalidasian Cluster dengan IDB menggunakan tiga sampai dengan sembilan Cluster pada 245 data training berada pada  cluster ke-9 dengan nilai IDB = 37.44  dan hasilnya  kurang akurat karena kelas yang terbentuk hanya dua kelompok.","Clustering, SOM, Eucledian Distance, IDB, SMA Wachid Hasyim 2 Taman-Sepanjang",RPL
SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN KARYAWAN BERPRESTASI DENGAN INTEGRASI FAHP dan ELECTRE II,Catur Ngesti Waluyo,"Mula'ab,S.Si.,M.Kom","Riza Alfita, S.T., M.T","Sumber daya manusia mutlak dibutuhkan untuk kemajuan suatu perusahaan guna menjadikan perusahaan itu menjadi perusahaan yang maju dan tidak kalah bersaing dengan perusahaan lainnya. Dalam hal ini maka dibuatlah Sistem Pendukung keputusan (SPK) pemilihan karyawan berprestasi untuk mencari karyawan berprestasi. Sistem Pendukung keputusan (SPK) ini menggunakan FAHP dan ELECTRE II. Metode FAHP merupakan metode yang cukup obyektif untuk proses penilaian berdasarkan hirarki kriteria yang digabungkan dengan konsep fuzzy sesuai kriteria penilaian kinerja karyawan perusahaan. Setelah mendapat bobot dilakukan proses selanjutnya dengan menggunakan metode ELECTRE II hingga mendapat karyawan berprestasi. Untuk menjaga bahwa penilaian ini tidak berpihak kepada salah satu karyawan dan bebas intervensi dari karyawan maka perusahaan menggunakan pihak luar yang independen dan profesional untuk melakukan penilaian terhadap karyawan. Hasil penilaian dari pihak luar yang berupa angka-angka kemudian oleh departemen sdm dilakukan penjumlahan nilai komulatif kriteria untuk mendapat karyawan terbaik tanpa ada prioritas kriteria yang lebih penting. Dengan menggunakan metode FAHP dan ELECTREII hasil keluaran mendekati keakuratan dengan hasil yang diperoleh dari areal manager di banding dengan hitung manual perusahaan tanpa memperhatikan bobot kepentingan. Perencanaan Penjadwalan Dan Rute Terpendek Distribusi Premium PT. PERTAMINA Camplong Menggunakan Metode Distribution Requirement Planning (DRP)Dan Algoritma Dijkstra,Penulis : Asri Maslihatin,""Dosen Pembimbing I : Heri Awalul Ilhamsah, S.T.M.T"",""Dosen Pembimbing II :Khamdi Mubarok, S.T.M.Eng"",""PT. Pertamina Terminal BBM (TBBM) Camplong adalah anak perusahaan Pertamina yang melayani pendistribusian BBM untuk wilayah Madura. Jumlah SPBU yang dilayani TBBM Camplong adalah 37 SPBU. Permintaan BBM untuk tiap SPBU per harinya tidak dapat dipastikan, sehingga distribusi BBM dengan keterbatasan jumlah mobil tangki yang ada tidak optimal. Untuk itu diperlukan penelitian penjadwalan distrbusi agar dapat mengoptimalkan pendistribusian BBM ke semua SPBU. Dalam penelitian ini digunakan metode Distribution Requirement Planning (DRP) dan Algoritma Djikstra untuk membuat penjadwalan distribusi BBM. Langkah pertama adalah menginputkan data permintaan 60 periode (hari) sebelumnya untuk membuat peramalan permintaan 10 periode berikutnya. Langkah berikutnya menghitung besarnya lot untuk tiap SPBU dengan menggunakan teknik lot sizing EOQ. Selanjutnya disusun DRP Worksheet. Dengan demikian TBBM Camplong dapat melakukan penjadwalan distribusi yang optimal. Setelah dilakukan penjadwalan kemudian dicari rute terpendek yang akan dilalui oleh tiap mobil tangki dengan menggunakan Algoritma Dijkstra. Hasilnya menunjukkan untuk permintaan 24 kL lintasan terpendeknya adalah TBBM – SPBU – TBBM, sementara untuk permintaan 8 kL dan 16 kL bisa dua rute yaitu TBBM – SPBU – TBBM dan TBBM – SPBU1 – SPBU2 – TBBM. Dengan demikian, 22 mobil tangki dapat digunakan secara maksimal untuk memenuhi kebutuhan 37 SPBU di seluruh wilayah Madura.","Peramalan, EOQ, Distribution Requirement Planning (DRP), Algoritma Dijktra",RPL
Kalibrasi Kamera dengan Menggunakan Metode Tsai,Bima Iffan Hakim,"Eza Rahmanita, ST., MT","Meidya Koeshardianto, S.Si., MT","Teknik kalibrasi sangat berpengaruh terhadap perkembangan computer vision karena setiap proses dalam teknik kalibrasi sangat diperlukan untuk pengolahan lanjutan berbagai macam proses vision. Dengan dilakukannya kalibrasi, proses vision akan menjadi lebih mudah. Dalam prosesnya teknik kalibrasi dilakukan untuk menentukan parameter yang dapat dilakukan untuk proses vision selanjutnya diantaranya rekonstruksi 3D. Penelitian ini mencoba mengangkat kembali teknik kalibrasi kamera klasik yang sangat popular, yaitu teknik kalibrasi kamera dengan menggunakan algoritma Tsai. Sebagai simulasi, hasil parameter yang akan didapat akan digunakan untuk melakukan pengukuran tinggi obyek dengan aplikasi dan kemudian dibandingkan dengan tinggi obyek secara real. Dari hasil ujicoba, didapatkan hasil bahwa tahapan proses kalibrasi kamera dengan metode Tsai berhasil dilakukan. Kemudian data parameter yang didapat, dilakukan simulasi dengan ujicoba sebanyak 5 skenario dengan masing-masing skenario dilakukan dengan 2 percobaan. Hasil yang didapat dari hasil pengukuran dengan aplikasi ternyata masih jauh dari hasil pengukuran secara nyata. Galat relative yang didapat dari perhitungan dengan aplikasi rata-rata hanya 50.6% dari perhitungan secara nyata. Hasil ini disebabkan karena proses pengambilan data awal dengan spesifikasi yang terbatas.","kalibrasi kamera, algoritma tsai, computer visio",RPL
Aplikasi Penilaian Kinerja dengan Metodologi Customer Realtionship Management (CRM),Luthfi Zahro,"Moch. Kautsar Sophan, S.Kom., M.MT","Dr. Rachmad Hidayat, ST., MT","Setiap perusahaan mengharapkan adanya hubungan baik dengan pelanggan, begitupun dengan PT. X sebagai perusahaan yang bergerak di bidang minyak dan gas bumi Negara. Pengelolaan hubungan yang baik akan berdampak pada peningkatan citra perusahaan dimata pelanggan. Penilaian kinerja perusahaan dapat diukur dengan menggunakan kriteria dari CRM Scorecard. CRM Scorecard diambil dari Balanced Scorecard (BSC) dengan berfokus pada pelanggan. Adanya penilaian kinerja dengan metode Analytic Network Process (ANP) untuk pembobotan, PT. X dapat  menilai kinerja perusahaan dengan ditunjukkan oleh Traffic Light System sebagai hasilnya. Hasil scoring KPI menunjukkan bahwa terdapat 2 KPI yang berada pada level buruk, yaitu Ekuitas Pelanggan dan Sistem Penghargaan. Kedua KPI ini diperlukan perhatian yang lebih. Indikator yang berada pada level cukup ada 3 KPI, yaitu yaitu Perluasan Pelanggan, Teknologi Informasi, dan Struktur Organisasi. Perusahaan harus berhati-hati dengan berbagai macam kemungkinan yang dapat terjadi. Indikator yang berada pada level baik ada 9 KPI, yaitu Profitabilitas, Kesetiaan Pelanggan, Kepuasan Pelanggan, Nilai Hubungan dengan Pelanggan, Perolehan Pelanggan, Mempertahankan Pelanggan, Peranan Manajemen, Pelatihan, dan Kerjasama.","Sistem Penilaian Kinerja, CRM Scorecard,  Analytic Network Process (ANP), Key Performance Indicator (KPI)",RPL
RANCANG BANGUN MANAJEMEN PEMBELAJARAN DAN TES TOEFL BERBASIS MOBILE,Susanto,"Hermawan S.T.,M.Kom","Andharini Dwi Cahyani S.Kom.,M.Kom","Penggunaan teknologi mobile saat ini sangat marak, disamping keunggulannya dapat mudah bawa dibawa kemana-mana, teknologi mobile sekarang sangat mudah untuk dieksplorasi, terbukti dengan adanya smartphone yang mempunyai banyak layanan yang dapat bermanfaat bagi para penggunanya. Toefl (Test Of English As A Foreign Languange) sangat dibutuhkan dalam menghadapi kemajuan teknologi saat ini, Kurang besarnya minat masyarakat dalam belajar bahasa inggris dan mengikuti tes-tes Toefl yang ada, berpengaruh pada kemajuan teknologi.  Android  merupakan  subset  perangkat  lunak  untuk perangkat  mobile  yang  meliputi  sistem  operasi, middleware,  dan  aplikasi  inti  yang  di  release  oleh Google. Android SDK adalah  tools  API (Application Programming Interface)  yang digunakan untuk memulai membuat aplikasi pada platform Android dengan menggunakan bahasa pemrograman Java. Eclipse adalah sebuah IDE (Integrated Development Environment) yang digunakan dalam  coding  aplikasi Android nantinya. Salah satu pemanfaatan teknologi mobile yaitu dengan membuat media pembelajaran dan tes TOEFL baik soal berupa teks dan audio dengan menggunakan  teknologi Android, tentunya berbasis mobile. Dengan tes TOEFL, pembelajaran test dan kelebihan listening menu di dalam aplikasi ini, diharapkan akan dapat membatu meningkatkan pemahaman pengguna mengenai tes TOEFL.","tes TOEFL, ANDROID, Java , Mobile, SDK",RPL
"Pendekatan Quality Risk Management (QRM) Untuk Usulan Mengurangi Cacat Produk Pada Pt.Sumber Mas Indah Plywood,Gresik",Valentine Megasari Sihombing,"Fitri Agustina ST.,MT","Retno Indriartiningtias, S.T., S.E., M.T","Cacat merupakan salah satu bentuk penyimpangan kualitas, untuk mengurangi cacat diperlukan pengendalian dalam tiap tahap proses produksinya. PT.Sumber Mas Indah Plywood Gresik memiliki departemen plywood yang mempunyai output produksi terbesar serta cacat terbanyak. Untuk meminimasi cacat dilakukan pendekatan Quality Rsik Management (QRM) yang merupakan proses sistematis untuk menilai, mengidentifikasi, mengontrol dan meninjau risiko pada kualitas produk. QRM menggunakan tool Failure Model Effect Analysis (FMEA) yang berfungsi untuk mengidentifikasi sumber dan akar penyebab dari masalah kualitas, dan metode Grey Theory yang berfungsi untuk menghilangkan subjektifitas dari preferensi penilaian severity, occurrence dan detection pada FMEA. Berdasarkan penilaian risiko didapatkan 42 potensial failure mode dengan RPN tertinggi sebesar 384 yakni tumpukan plywood yang jatuh dan RPN terendah sebesar 54 yaitu penentuan titik pusat kayu yang tidak tepat saat pembubutan, potongan kasar pada bagian permukaan dan tepi  kayu lapis dan penyusunan veneer face yang kurang tepat. Dari pemetaan level risiko ada 9 risiko yang berada pada daerah risk mitigation dimana 6 risiko mempunyai RPN yang sama. Salah satu prioritas pengendalian risiko adalah penyambungan veneer tumpang tindih, peniliti mengusulkan untuk memperbaharui alat srtipping tip dan penambahan 1 operator pada departemen repair 2, hal ini diusulkan untuk mengurangi cacat core lumpuk sebanyak 35,14 % selain itu pengendalian risiko untuk pelicinan permukaan yang tidak rata peneliti mengusulkan memperbaharui mata pahat pisau mesin press agar mengurangi cacat sarder sebanyak 20,32 %.",-,CAI
Implementasi Sistem Pakar Pada Pengambilan Keputusan Penentuan Tindakan Medis di Poli Mata Berbasis Web,Rizky Maulidya,"Fika Hastarita Rachman S.T., M.Eng","Firli Irhamni S.T., M.Kom","Diagnosa penyakit mata dengan sistem informasi yang baik merupakan inti permasalahan pada penelitian ini. Diketahui pada studi kasus ini, dokter sebagai seorang pakar memiliki keterbatasan waktu dalam melayani pasien selama 24 jam, bahkan pada hari-hari selanjutnya. Dokter hanya bekerja tiga hari dalam satu minggu, dan 6 jam pada tiap kali melakukan pelayanan. Adanya asisten dokter juga belum dapat membantu pelayanan ini bekerja denga maksimal. Hal ini lah yang menjadi kurang maksimalnya peranan dokter bagi pasien. Terbatasnya keberadaaan dokter sebagai pakar dan minimnya waktu pelayanan dari dokter pada pasien nya serta minimnya pengetahuan seseorang terhadap gejala atas sakit yang dirasakan, sangat mendukung terdapatnya sistem yang mampu memberikan diagnosa dan solusi mengenai gejala yang diketahui. Berdasarkan hal tersebut, penelitian ini bertujuan untuk membuat aplikasi sistem pakar  berbasis web, yang  dapat mendiagnosa gejala penyakit pada mata. Metode yang digunakan dalam pengembangan aplikasi adalah Fuzzy Mamdani dengan Inferensi Forward Chainning. Input yang dibutuhkan pada sistem ini adalah data jenis gejala dan gejala umum yang diketahui, sedangkan output adalah nilai tingkat keparahan penyakit yang nantinya mengarah pada solusi dari tiap kasus. Dari hasil uji coba sistem yang dilakukan oleh dokter diperoleh nilai keakuratan sebesar 80% dari 10 kasus yang dilakukan. ","Metode Fuzzy Mamdani, forward chaining , diagnosa penyakit mata",RPL
Pengaruh analisa jabatan terhadap motivasi kerja karyawan Fakultas Teknik Universitas Trunojoyo Madura,LAILI EKA WULANDARI,"RETNO INDRIARTININGTIAS.,ST.,MT","FITRI AGUSTINA.,ST.,MT","Universitas Trunojoyo Madura mempunyai beberapa Fakultas salah satunya adalah Fakultas Teknik.  Fakultas Teknik sendiri terdiri dari 5 program studi  yaitu  Teknik Informatika, Teknik Industri, Menejemen Informatika, Mekatronika, Multimedia dan Jaringan.  Setiap tahunnya  perkembangan  jumlah mahasiswa semakin bertambah  juga menyebabkan bertambahnya tugas  dan tanggung jawab karyawan Fakultas Teknik, dilain pihak jumlah pegawai cenderung tetap dan belum ada rekrutmen ataupun penambahan jumlah karyawan.  Tujuan penelitian ini adalah untuk merancang skenario perpindahan jabatan (job design) pada karyawan yang  diketahui memiliki beban kerja mental tinggi. Metode yang digunakan untuk mengetahui pengaruh analisa jabatan terhadap motivasi  kerja yaitu component based SEM (Partial Least Square/PLS) sedangkan untuk menghitung beban kerja mental menggunakan metode NASA  TLX.  Berdasarkan hasil didapatkan nilai T-statistik hubungan antara analisa jabatan dengan motivasi kerja sebesar  18,286 (18,286>1,96)  yang membuktikan bahwa  terdapat pengaruh analisa jabatan terhadap motivasi dan hasil dari pengukuran beban kerja mental  menggunakan  NASA-TLX  terdapat tiga karyawan fakultas teknik yang memiliki beban kerja mental kategori tinggi (50-79) adalah Achmad Besuni, Tjahja Sirtu Virlaili, dan Harumi Berlianti. Sehingga perlunya dilakukan skenario perpindahan pekerjaan agar karyawan  yang beban mentalnya tinggi dapat berkurang menjadi kategori sedang (10-29) dan nantinya dapat memimalisasi adanya pekerjaan yang kurang optimal.","Analisa Jabatan, Motivasi, NASA-TLX, Partial Least Square (PLS)",RPL
APLIKASI DAN DESAIN MODEL DECISION AID PELANGGAN PADA E-COMMERCE TOKO BATIK TULIS MADURA,Ardiyanto Setiawan,"Moch. Kautsar Sophan, S.Kom., M.MT.","Yeni Kustiyah Ningsih, S.Kom., M.Kom.","Toko Batik Tulis Madura merupakan salah satu toko yang telah beroperasi sejak tahun 2011 dengan menggunakan website e-commerce. Walau telah menggunakan model e-commerce, website tersebut memiliki kekurangan yaitu belum ada fitur rekomndasi untuk memudahkan konsumen mencari barang yang ingin dibelinya. Penelitian ini bertujuan membuat rekomendasi dengan decision aid untuk membantu pelanggan dalam memilih produk di website Toko Batik Tulis Madura. Teknik pengumpulan analis data terdiri dari Studi Literatur yang berhubungan dengan decision aid dan multi criteria, Observasi dilakukan terhadap website Toko Batik Tulis Madura dan Interview dilakukan kepada pemilik website Toko Batik Tulis Madura. Pembuatan implementasi pada Penelitian ini menggunakan model waterfall. Jenis decision aid yang akan diimplementasikan adalah Multi Criteria Filtering. Metode pembobotan yang digunakan pada Multi Criteria Filtering yaitu Decision Matrix. Hasil ujicoba dengan jumlah sample percobaan sebanyak 50 kali data perconbaan pencarian, presentase akurasi adalah 94% dan error adalah 6%. Hasil uji kelayakan dari beberapa kuisoner dihasilkan bahwa performa yang dimiliki tool ini cukup baik dan tool ini layak untuk diintegrasikan serta digunakan dalam website e-commerce.","Decision, Aid, Multi, Criteria, Filtering""",RPL
"PERENCANAAN AGREGAT PRODUKSI PLYWOOD DENGAN TEKNIK GOAL PROGRAMMING (Studi Kasus : PT. TIRTA MAHAKAM RESOUCES Tbk, Gresik)",DINKA DAMIANA ULVA,"M. IMRON MUSTAJIB., S.T., M.T","HERI AWALUL ILHAMSAH., S.T., M.T","Penelitian ini membahas tentang penerapan metode goal programming pada perencanaan produksi di PT.Tirta Mahakam. Rencana produksi di perusahaan tersebut selama ini ditentukan berdasarkan jumlah pesanan yang ada tanpa memperhitungkan optimalisasi faktor produksi yang digunakan. Tujuan penerapan metode goal programming pada perencanaan produksinya adalah memaksimalkan keuntungan, memaksimalkan utilisasi mesin, dan meminimalkan biaya kualitas. Model goal programming yang digunakan merupakan pengembangan dari model optimalisasi perencanaan produksi yang dibuat oleh Leung dan Chan (2009). Hasil penelitian ini mengkonfirmasikan rencana produksi dengan menggunakan metode goal programming diperoleh keuntungan sebesar Rp 53.586.920.776,89. Besaran keuntungan tersebut melebihi target yang ditentukan perusahaan sebesar Rp 2.021.166.759,02. Selisih keuntungan tersebut dicapai dari penggunaan utilitas mesin selama 4.568,921 jam per tahun, dan biaya kualitas sebesar Rp 69.604.662.","rencana produksi , model, goal programming, optimalisasi",RPL
Model Penjualan Produk Unggulan Batik Khas Pamekasan Berbasis Electronic Commerce,Murni Rotifah,"Moch. Kautsar Sophan, S.Kom, M.MT","Bain Khusnul Khotimah, S.T., M.Kom","Kabupaten Pamekasan merupakan salah satu pusat industri dan perdagangan batik tulis yang dapat diandalkan sebagai salah satu sumber pendapatan daerah. Batik tulis Madura, khususnya batik tulis Pamekasan memiliki corak dan design yang khas. Penulis meneliti tentang pembuatan Model Penjualan Produk Unggulan Batik khas Pamekasan berbasis Electronic Commerce. Tujuan penelitian ini adalah Membangun model e-commerce yang interaktif untuk mendukung potensi perindustrian dan perdagangan kabupaten Pamekasan serta mempermudah transaksi penjualan produk unggulan batik tulis khas Pamekasan. Model e-commerce yang diterapkan adalah business to customer (B2C). Metodologi dalam mengerjakan penelitian ini adalah metode SDLC (Software Development Life Cycle), dengan menggunakan SDLC waterfall. Berdasarkan hasil analisis kuisioner yang dibagikan kepada pelanggan dan umum yaitu sebanyak 50 responden, yang mencakup beberapa pertanyaan mengenai fitur-fitur pada website. Simpulan yang dapat diambil yaitu pemodelan yang dibuat cukup baik untuk diimplementasikan menjadi website e-commerce. Hal ini dibuktikan dari hasil kuisoner menunjukkan rata-rata persentase responden yang menjawab setuju mencapai 53%. ","Batik, E-Commerce, B2C, Model",RPL
Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,Adi Chandra Laksono,"Kurniawan Eka P, S.Kom., Msc","Arik Kurniawati, S.Kom., M.T.","Gerak pekerja ada pada game yang memiliki genre RTS (Real-Time Strategy). Gerak pekerja memiliki berbagai macam gerak. Oleh sebab itu dibutuhkan sebuah pendekatan konsep AI  untuk mendesain perilaku pekerja tersebut. Perilaku karakter tersebut harus ditambahi dengan AI (Artifical intelegent) agar perilakunya menjadi lebih hidup dan realistis. Dalam penelitian ini AI yang digunakan adalah Finite State Machine. Finite State Machine digunakan untuk menentukan gerak pekerja terhadap parameter-parameter yang digunakan sebagai dasar gerak yang akan dilakukan . Selanjutnya akan disimulasikan pada game RTS dengan menggunakan game engine. Hasil yang di peroleh dalam penelitian ini adalah penerapan metode Finite State machine untuk menentukan gerak pekerja berdasarkan parameter jumlah harta, prajurit, kondisi bangunan, dan stockpile (jumlah resources yang di bawa). ","Game, Real-Time Strategy, Gerak Pekerja, Finite State Machine",RPL
ANALISA VALIDITAS PENERIMA BEASISWA MENGGUNAKAN METODE ANALYTIC NETWORK PROCESS DAN TOPSIS,Hilmi Fairuz Abadi,"Bain Khusnul K., S.T., M.Kom.","Firli Irhamni, S.T., M.Kom.","Beasiswa adalah pemberian berupa bantuan keuangan yang diberikan kepada perorangan yang bertujuan untuk digunakan demi keberlangsungan pendidikan yang ditempuh. Program beasiswa diadakan untuk meringankan beban mahasiswa dalam menempuh masa studi kuliah khususnya dalam masalah biaya. Fakultas Teknik Universitas Trunojoyo memiliki program beasiswa yang harus diberikan kepada yang berhak menerima. Diantaranya Beasiswa Bantuan Belajar Mahasiswa (BBM), Beasiwa Peningkatan Prestasi Akademik (PPA) dan setiap jenis beasiswa memiliki kriteria atau faktor bobot yang berbeda. Tetapi dalam melakukan seleksi beasiswa tentu akan mengalami kesulitan karena banyaknya pemohon, banyaknya kriteria dan masih menggunakan cara manual yang mengakibatkan kurang efektifnya keputusan. Untuk membantu dalam menetapkan seseorang yang layak menerima beasiswa maka dibutuhkan sistem pendukung keputusan. Metode yang digunakan dalam penelitian ini adalah Analytic Network Process (ANP) dan Technique Order Preference by Similarity To Ideal Solution (TOPSIS). Pada penelitian ini akan diangkat suatu kasus yaitu menganalisa validitas alternatif terbaik penerima beasiswa berdasarkan kriteria-kriteria yang telah ditentukan dengan menggunakan metode ANP kemudian dicari solusi pengurutan dengan menggunakan metode TOPSIS. Berdasarkan hasil uji coba sistem, terdapat perbedaan selisih hasil rekomendasi dari sistem terhadap data aktual pemenang beasiswa PPA jurusan informatika, yaitu 78,57%. Sedangkan selisih hasil rekomendasi dari sistem terhadap data aktual pemenang beasiswa BBM jurusan informatika, yaitu 80,95%.","ANP, TOPSIS, MCDM, pengambilan keputusan multi kriteria, seleksi beasiswa",RPL
SISTEM PAKAR IDENTIFIKASI PENYAKIT UDANG BERBASIS WEB DENGAN METODE CERTAINTY FAKTOR (Study Kasus Dinas Perikanan dan Kelautan Kab. Lamongan),Twurisina Yugos Nellya,"Haryanto S.T., M.T",-,"Manajemen kesehatan sangatlah menentukan dalam usaha pembudidayaan udang karena dapat menurunkan tingkat kematian dan membuat kondisi kesehatan pada udang menjadi lebih prima. Dengan kondisi  kesehatan  yang  bagus  diharapkan  dapat  meningkatkan hasil produksi   yang   tinggi   dan   memberi   keuntungan   yang   maksimal. Serangan penyakit merupakan ancaman yang sangat berarti dalam usaha pembudidayaan   udang.   Untuk   mengetahui   keadaan   udang   yang terserang  penyakit  salah  satunya  adalah  dengan  cara  menganalisis gejala-gejala yang dialami udang tersebut. Dengan demikian serangan penyakit dapat dicegah dan diobati sejak dini. Metode yang digunakan adalah  metode  Certainty  Faktor  (CF).  Metode  CF  (  Rule  )  adalah metode yang didapat dengan cara menghitung probabilitas kemunculan fakta – fakta (premise values) pada semua rule yang memiliki set hipotesa yang sama. Logika pemikiran yang digunakan adalah sebagai berikut: Semakin sering sebuah fakta digunakan pada rule – rule yang ada, dapat diasumsikan bahwa fakta tersebut semakin umum (general). Semakin   umum   sebuah   fakta,   semakin   kecil   tingkat   keyakinan terjadinya sebuah hipotesa akibat fakta tersebut. Hasil pengujian yang dilakukan terhadap sistem ini mampu memberikan hasil diagnosa (output)  dengan  mencari  alternatif  suatu  penyakit  yang  memiliki peluang gejala-gejala yang paling besar dan dapat membantu pengguna untuk memperoleh diagnosa penyakit udang yang memiliki tingkat akurasi kebenaran mendekati maksimal, & hasil dari kemungkinan penyakit  yang  diderita oleh  udang tersebut  serta  memberikan solusi yaitu berupa cara menanggulanginya.","Sistem  Pakar,  Certainty  Faktor,  Penyakit  udang, Manajemen kesehatan",RPL
